geneID,ensembl_gene_id,gene_symbol,mean_logCPM_KD,mean_logCPM_MISC,log2_fold_change_MISC_vs_KD,p_value,adjusted_p_value
ENSG00000159189.12,ENSG00000159189,C1QC,3.8242904493034096,5.544626914029399,1.7203364647259893,6.777101923355905e-12,1.2191590346403973e-07
ENSG00000173369.17,ENSG00000173369,C1QB,4.574204698604895,6.254206974457654,1.6800022758527593,8.535735032138887e-12,1.2191590346403973e-07
ENSG00000154451.14,ENSG00000154451,GBP5,7.452778412223494,9.263643766377873,1.8108653541543793,2.7423709672854294e-11,2.611285635049186e-07
ENSG00000173372.17,ENSG00000173372,C1QA,4.854211546216149,6.285951982701466,1.4317404364853168,6.267859835342155e-11,4.4761921014096e-07
ENSG00000244112.3,ENSG00000244112,RN7SL508P,1.4094784097276574,0.273982732955872,-1.1354956767717854,1.8534086976500256e-10,1.0588894571414127e-06
ENSG00000133742.14,ENSG00000133742,CA1,5.798415999156696,7.500254271267234,1.701838272110538,2.5758120429344517e-10,1.1611758451134638e-06
ENSG00000251230.6,ENSG00000251230,MIR3945HG,2.0237960624149056,3.858127257940832,1.8343311955259263,2.845421450603601e-10,1.1611758451134638e-06
ENSG00000087086.15,ENSG00000087086,FTL,11.094996906642338,11.63042419144165,0.5354272847993116,3.432333237425671e-10,1.2256003907537716e-06
ENSG00000164733.22,ENSG00000164733,CTSB,6.692507887346456,7.6263384185006435,0.9338305311541877,3.9030662635634266e-10,1.2388332320550317e-06
ENSG00000135821.19,ENSG00000135821,GLUL,8.525419196749276,8.993270568312779,0.4678513715635031,6.309079865846632e-10,1.8022517544777488e-06
ENSG00000139832.5,ENSG00000139832,RAB20,4.308618552279616,5.514950762121056,1.20633220984144,8.755226784720317e-10,2.273652803021096e-06
ENSG00000119801.13,ENSG00000119801,YPEL5,8.854115639738742,8.179876879772015,-0.6742387599667268,1.2796928060623701e-09,3.046308724831472e-06
ENSG00000138755.6,ENSG00000138755,CXCL9,3.173070856734901,5.487319635198799,2.314248778463898,1.4313999040742866e-09,3.145336127675852e-06
ENSG00000272075.2,ENSG00000272075,RN7SL828P,1.0940668916704739,0.1803973483954362,-0.9136695432750377,1.96967977681842e-09,4.018990893185357e-06
ENSG00000152766.6,ENSG00000152766,ANKRD22,2.5538149412375395,4.582944007795425,2.0291290665578856,3.029114776624406e-09,5.768646180603519e-06
ENSG00000156265.16,ENSG00000156265,MAP3K7CL,9.140082362289682,7.7477811729354364,-1.3923011893542458,3.2786520323888358e-09,5.853623372326218e-06
ENSG00000172493.23,ENSG00000172493,AFF1,8.202626512791527,8.607019810347328,0.4043932975558011,4.161384168349087e-09,6.783687209192615e-06
ENSG00000263841.2,ENSG00000263841,RN7SL44P,0.6116673754685641,0.050349950837455304,-0.5613174246311088,4.292634027131859e-09,6.783687209192615e-06
ENSG00000142089.17,ENSG00000142089,IFITM3,8.529222885341632,9.307379024842556,0.7781561395009238,4.5120092758755055e-09,6.783687209192615e-06
ENSG00000218208.1,ENSG00000218208,RPS27AP11,1.5655046990266357,0.3925779294678738,-1.172926769558762,6.632472111615749e-09,9.473159917020775e-06
ENSG00000081059.20,ENSG00000081059,TCF7,7.732024384045715,6.5176943252697255,-1.2143300587759898,8.25014831039086e-09,1.0906012786033756e-05
ENSG00000089327.15,ENSG00000089327,FXYD5,8.84525380362252,8.211923577850529,-0.6333302257719904,8.768557501687239e-09,1.0906012786033756e-05
ENSG00000185215.11,ENSG00000185215,TNFAIP2,7.67323629591201,8.469781958757764,0.7965456628457543,8.781008684407211e-09,1.0906012786033756e-05
